fecha,segmento,subsegmento,cliente,fantasia,porcentaje_total,supervisor,promotor,ruta,grupos,origen
2026-08-10,VALUE,LATA,100332,GABRIEL,0.18,,201 MAVI,2012 - VE 201 MAVI 11,105 ADICIONAL 1890 LATA SUR | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LITRO,100343,VASQUEZ ESPINOZA OCTAVIA,0.1,,201 MAVI,2012 - VE 201 MAVI 11,105 ADICIONAL 1890 LATA SUR | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LATA,100343,VASQUEZ ESPINOZA OCTAVIA,0.18,,201 MAVI,2012 - VE 201 MAVI 11,105 ADICIONAL 1890 LATA SUR | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LITRO,100345,MAMMA MIA,0.1,,201 MISA,2013 - VE 201 MISA 11,105 ADICIONAL 1890 LATA SUR | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LATA,100345,MAMMA MIA,0.18,,201 MISA,2013 - VE 201 MISA 11,105 ADICIONAL 1890 LATA SUR | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LITRO,100358,TIAGO Y ELIO,0.1,,201 MAVI,2012 - VE 201 MAVI 11,105 ADICIONAL 1890 LATA SUR | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LATA,100358,TIAGO Y ELIO,0.18,,201 MAVI,2012 - VE 201 MAVI 11,105 ADICIONAL 1890 LATA SUR | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LITRO,100365,9 DE JULIO,0.1,,201 MAVI,2012 - VE 201 MAVI 11,105 ADICIONAL 1890 LATA SUR | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LATA,100365,9 DE JULIO,0.18,,201 MAVI,2012 - VE 201 MAVI 11,105 ADICIONAL 1890 LATA SUR | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LITRO,100368,J. L.,0.1,,201 MAVI,2012 - VE 201 MAVI 11,105 ADICIONAL 1890 LATA SUR | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LATA,100368,J. L.,0.18,,201 MAVI,2012 - VE 201 MAVI 11,105 ADICIONAL 1890 LATA SUR | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LITRO,100374,EL FAROLITO,0.18,,201 MAVI,2012 - VE 201 MAVI 11,105 ADICIONAL 1890 LATA SUR | 3014 ADIC LITRO 1890 K-T DEL VALLE | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LATA,100374,EL FAROLITO,0.18,,201 MAVI,2012 - VE 201 MAVI 11,105 ADICIONAL 1890 LATA SUR | 3014 ADIC LITRO 1890 K-T DEL VALLE | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LITRO,100403,DON TOMAS,0.18,,VI 606 MISA 11,6063 - VI 606 MISA 11,105 ADICIONAL 1890 LATA SUR | 3014 ADIC LITRO 1890 K-T DEL VALLE | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LATA,100403,DON TOMAS,0.18,,VI 606 MISA 11,6063 - VI 606 MISA 11,105 ADICIONAL 1890 LATA SUR | 3014 ADIC LITRO 1890 K-T DEL VALLE | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LITRO,100406,ZERPA,0.18,,VI 606 MISA 11,6063 - VI 606 MISA 11,105 ADICIONAL 1890 LATA SUR | 3014 ADIC LITRO 1890 K-T DEL VALLE | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LATA,100406,ZERPA,0.18,,VI 606 MISA 11,6063 - VI 606 MISA 11,105 ADICIONAL 1890 LATA SUR | 3014 ADIC LITRO 1890 K-T DEL VALLE | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LITRO,100409,NAYADET,0.1,,VI 606 MISA 11,6063 - VI 606 MISA 11,105 ADICIONAL 1890 LATA SUR | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LATA,100409,NAYADET,0.18,,VI 606 MISA 11,6063 - VI 606 MISA 11,105 ADICIONAL 1890 LATA SUR | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LITRO,100421,ROCIO,0.1,,VI 606 MISA 11,6063 - VI 606 MISA 11,105 ADICIONAL 1890 LATA SUR | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
